Date,MSFT,MMM,INTC
16/04/2013,24.859106,89.878029,18.060627
17/04/2013,24.738977,89.310745,18.068867
18/04/2013,24.704655,88.887383,18.324287
19/04/2013,25.545591,89.50547,18.489079
22/04/2013,26.455177,89.581665,18.851603
23/04/2013,26.257814,90.927956,19.263569
24/04/2013,27.253204,91.334366,19.494272
25/04/2013,27.407661,88.802711,19.263569
26/04/2013,27.278946,87.879784,19.280052
29/04/2013,27.98259,87.913681,19.576666
30/04/2013,28.403057,88.658768,19.733217
1/05/2013,28.076982,88.523323,19.766169
2/05/2013,28.454546,89.784912,19.865047
3/05/2013,28.737719,91.300507,19.927422
6/05/2013,28.960823,91.308968,19.885838
7/05/2013,28.583258,91.452934,20.085445
8/05/2013,28.30867,91.613777,20.168615
9/05/2013,28.02549,93.070122,20.260098
10/05/2013,28.051237,93.544296,20.376534
13/05/2013,28.342987,93.561203,20.027224
14/05/2013,28.973791,93.637405,19.827616
15/05/2013,29.250311,94.407944,20.127028
16/05/2013,29.449068,94.043823,19.910786
17/05/2013,30.131708,94.314796,19.993961
20/05/2013,30.313187,94.594185,20.027224
21/05/2013,30.11442,94.839737,20.085445
22/05/2013,29.907045,94.341591,20.018908
23/05/2013,29.509546,94.018005,20.002281
24/05/2013,29.613247,93.898788,19.89415
28/05/2013,30.261324,95.022812,20.027224
29/05/2013,30.140348,94.631104,20.185249
30/05/2013,30.269962,94.878052,20.135344
31/05/2013,30.157629,93.898788,20.193563
3/06/2013,30.753874,94.188316,20.991991
4/06/2013,30.235403,93.685913,21.091801
5/06/2013,30.053938,92.468208,20.542881
6/06/2013,30.209484,92.536339,20.501291
7/06/2013,30.822996,94.614082,20.451384
10/06/2013,30.650181,94.358627,20.800707
11/06/2013,30.105789,93.856224,20.551197
12/06/2013,30.244043,92.842896,20.343262
13/06/2013,30.002085,94.690735,20.784067
14/06/2013,29.725578,94.545944,20.725847
17/06/2013,30.244043,95.295311,20.875553
18/06/2013,30.226763,96.197929,21.183281
19/06/2013,29.88975,95.005783,20.792385
20/06/2013,28.939234,92.629997,20.118711
21/06/2013,28.749121,93.31974,20.127028
24/06/2013,29.137974,91.540039,19.611378
25/06/2013,29.09477,92.170174,19.860884
26/06/2013,29.682362,93.396385,19.969006
27/06/2013,29.915684,93.873245,20.002281
28/06/2013,29.84655,93.115379,20.151979
1/07/2013,29.691017,93.081329,19.869202
2/07/2013,29.328081,92.587425,19.727814
